Batch Info,2013-03-20T07:11:09.9053262-07:00,2013-03-20T07:12:55.5280967-07:00,2013-03-20T07:11:07.1047817-07:00,,,,,
Batch Data Path,C:\Users\anonymous\Documents\Bika\spec\instruments\example.csv,,,,,,,
Analysis Time,3/20/2013 7:11 AM,Analyst Name,lemoene,,,,,
Report Time,3/20/2013 7:12 AM,Reporter Name,lemoene,,,,,
Last Calib Update,3/20/2013 7:11 AM,Batch State,Processed,,,,,
,,,,,,,,
Sequence Table,,,,,,,,
Data File,Sample Name,Position,Inj Vol,Level,Sample Type,Acq Method File,,
prerunrespchk.d,prerunrespchk,Vial 3,-1,,Sample,120824_VitD_MAPTAD_1D_MRM_practice.m,,
QC13-0002-001.d,QC13-0002-001,P1-A2,-1,,Sample,120824_VitD_MAPTAD_1D_MRM_practice.m,,
QC13-0001-001.d,QC13-0001-001,P1-B2,-1,,Sample,120824_VitD_MAPTAD_1D_MRM_practice.m,,
QC13-0003-001.d,QC13-0003-001,P1-C2,-1,,Sample,120824_VitD_MAPTAD_1D_MRM_practice.m,,
QC13-0004-001.d,QC13-0004-001,P1-D2,-1,,Sample,120824_VitD_MAPTAD_1D_MRM_practice.m,,
QC13-0005-001.d,QC13-0005-001,P1-E2,-1,,Sample,120824_VitD_MAPTAD_1D_MRM_practice.m,,
QC13-0006-001.d,QC13-0006-001,P1-F2,-1,,Sample,120824_VitD_MAPTAD_1D_MRM_practice.m,,
DBS13196-004-R1.d,DBS13196-004-R1,P1-G2,-1,,Sample,120824_VitD_MAPTAD_1D_MRM_practice.m,,
mid_respchk.d,mid_respchk,Vial 3,-1,,Sample,120824_VitD_MAPTAD_1D_MRM_practice.m,,
DBS13196-009-R1-r002.d,DBS13196-009-R1,P1-C2,-1,,Sample,120824_VitD_MAPTAD_1D_MRM_practice.m,,
DBS13196-010-R1-r001.d,DBS13196-010-R1,P1-D2,-1,,Sample,120824_VitD_MAPTAD_1D_MRM_practice.m,,
DBS13196-003-R1-r002.d,DBS13196-003-R1,P1-D2,-1,,Sample,120824_VitD_MAPTAD_1D_MRM_practice.m,,
DBS13196-007-R1-r001.d,DBS13196-007-R1,P1-E2,-1,,Sample,120824_VitD_MAPTAD_1D_MRM_practice.m,,
DBS13196-008-R1-r002.d,DBS13196-008-R1,P1-E2,-1,,Sample,120824_VitD_MAPTAD_1D_MRM_practice.m,,
DBS13196-012-R1-r002.d,DBS13196-012-R1,P1-F2,-1,,Sample,120824_VitD_MAPTAD_1D_MRM_practice.m,,
DBS13196-011-R1-r002.d,DBS13196-011-R1,P1-F2,-1,,Sample,120824_VitD_MAPTAD_1D_MRM_practice.m,,
post_respchk.d,post_respchk,Vial 3,-1,,Sample,120824_VitD_MAPTAD_1D_MRM_practice.m,,
,,,,,,,,
Quantitation Results,,,,,,,,
Target Compound,D3,,,,,,,
Data File,Compound,ISTD,Resp,ISTD Resp,Resp Ratio, Final Conc,Exp Conc,Accuracy
prerunrespchk.d,D3,D3,5816,274638,0.0212,35,,
QC13-0002-001.d,D3,D3,6103,139562,0.0437,36,,
QC13-0001-001.d,D3,D3,11339,135726,0.0835,37,,
QC13-0003-001.d,D3,D3,15871,141710,0.112,38,,
QC13-0004-001.d,D3,D3,30621,148846,0.2057,39,,
QC13-0005-001.d,D3,D3,75632,145807,0.5187,40,,
QC13-0006-001.d,D3,D3,10873,143348,0.0759,41,,
DBS13196-004-R1.d,D3,D3,65098,137020,0.4751,42,,
mid_respchk.d,D3,D3,4699,242798,0.0194,43,,
DBS13196-009-R1-r002.d,D3,D3,15659,129490,0.1209,44,,
DBS13196-010-R1-r001.d,D3,D3,29846,132264,0.2257,45,,
DBS13196-003-R1-r002.d,D3,D3,28696,141614,0.2026,46,,
DBS13196-007-R1-r001.d,D3,D3,65734,128274,0.5125,47,,
DBS13196-008-R1-r002.d,D3,D3,67588,131885,0.5125,48,,
DBS13196-012-R1-r002.d,D3,D3,9715,130368,0.0745,49,,
DBS13196-011-R1-r002.d,D3,D3,9643,132291,0.0729,50,,
post_respchk.d,D3,D3,5022,231748,0.0217,51,,
,,,,,,,,
Target Compound,D2,,,,,,,
Data File,Compound,ISTD,Resp,ISTD Resp,Resp Ratio, Final Conc,Exp Conc,Accuracy
prerunrespchk.d,D2,D2,6222,274638,0.0227,35,,
QC13-0002-001.d,D2,D2,1252,139562,0.009,36,,
QC13-0001-001.d,D2,D2,3937,135726,0.029,37,,
QC13-0003-001.d,D2,D2,826,141710,0.0058,38,,
QC13-0004-001.d,D2,D2,126983,148846,0.8531,39,,
QC13-0005-001.d,D2,D2,325712,145807,2.2339,40,,
QC13-0006-001.d,D2,D2,42422,143348,0.2959,41,,
DBS13196-004-R1.d,D2,D2,9997,137020,0.073,42,,
mid_respchk.d,D2,D2,7864,242798,0.0324,43,,
DBS13196-009-R1-r002.d,D2,D2,853,129490,0.0066,44,,
DBS13196-010-R1-r001.d,D2,D2,127496,132264,0.9639,45,,
DBS13196-003-R1-r002.d,D2,D2,135738,141614,0.9585,46,,
DBS13196-007-R1-r001.d,D2,D2,314429,128274,2.4512,47,,
DBS13196-008-R1-r002.d,D2,D2,316124,131885,2.397,48,,
DBS13196-012-R1-r002.d,D2,D2,43932,130368,0.337,49,,
DBS13196-011-R1-r002.d,D2,D2,42840,132291,0.3238,50,,
post_respchk.d,D2,D2,6567,231748,0.0283,51,,
