Instrument Name,BioDrop ﾵLite,,,,,,,,
Serial Number,1163,,,,,,,,
File Created,41424.36575,,,,,,,,
Source Application,RNA,,,,,,,,
User,Anon,,,,,,,,
,,,,,,,,,
Pathlength (mm),ﾵLite 0.5mm,,,,,,,,
Bandwidth (nm),1,,,,,,,,
Background,On,,,,,,,,
Dilution Factor,1,,,,,,,,
Integration time (ms),2000,,,,,,,,
Factor,40,,,,,,,,
Units,ng/ul,,,,,,,,
,,,,,,,,,
Date,Time,Sample Name,A230,A260,A280,A320,A260/A230,A260/A280,Concentration
41424,0.335208,B10C 1,0.019,0.03,0.017,0.003,1.69,1.932,21.559
41424,0.336539,B10C 2,0.092,0.224,0.108,0.001,2.448,2.082,178.553
41424,0.337175,B10C 3,0.027,0.059,0.029,0.001,2.231,2.072,46.394
41424,0.337858,B10C 4,0.023,0.049,0.024,0,2.149,2.058,38.907
41424,0.339317,B10C 5,0.023,0.051,0.024,-0.001,2.176,2.088,41.447
41424,0.340081,B10C 6,0.051,0.087,0.046,0.006,1.802,2.028,64.717
41424,0.340868,B10C 7,0.177,0.365,0.187,0.013,2.147,2.024,281.49
41424,0.341516,B10C 8,0.047,0.11,0.052,-0.001,2.305,2.089,89.013
41424,0.341921,B10C 9,0.026,0.055,0.027,0.001,2.15,2.068,43.365
41424,0.34228,B10C 10,0.029,0.069,0.033,-0.001,2.351,2.071,55.688
41424,0.342662,B10C 11,0.041,0.097,0.048,0.001,2.4,2.042,76.807
