Arena v. 7.2AR1,,,
Results from time period:,,,
Mon Nov 10 22:26:32 2014,,,
Tue Nov 11 00:00:03 2014,,,
,DFruc EZ,DGluc EZ,L-mal EZ
K5,30.284,17.142,
K6,33.179,20.157,
L51,,,1.016
L52,,,1.957
L71,,,-0.039
L1,,,2.104
L2,,,2.083
L3,,,2.14
L4,,,1.992
L5,,,2.104
L6,,,2.075
L7,,,1.706
L8,,,1.857
L9,,,1.719
L10,,,1.764
L72,,,-0.033
L11,,,1.947
L12,,,1.773
L13,,,2.08
L14,,,2.086
L15,,,2.076
L16,,,2.067
L17,,,2.054
L18,,,2.048
L19,,,1.69
L20,,,1.712
L73,,,-0.039
L21,,,1.733
L22,,,1.729
L23,,,1.692
L24,,,1.708
L25,,,2.174
L26,,,2.198
L27,,,2.171
L28,,,2.134
L29,,,2.164
L30,,,2.168
L74,,,-0.031
L31,,,2.122
L32,,,2.116
L33,,,2.077
L34,,,2.142
L35,,,2.035
L36,,,2.098
L37,,,2.102
L38,,,2.095
L39,,,2.109
L40,,,2.08
L75,,,2.188
L41,,,2.138
L42,,,2.141
L43,,,1.843
L44,,,1.949
L45,,,1.939
L46,,,1.822
L47,,,1.814
L48,,,1.809
L49,,,2.282
L50,,,2.245
L76,,,2.168
L53,,,1.862
L54,,,0.907
L55,,,1.693
L56,,,0.571
L57,,,1.713
L58,,,1.823
L59,,,1.802
L60,,,1.813
L61,,,1.773
L62,,,0.438
L63,,,-0.039
L64,,,0.061
L65,,,-0.04
L66,,,-0.04
L67,,,0.004
L68,,,-0.039
L69,,,-0.043
L70,,,-0.042
